"Relative Pressure","Volume @ STP"
1.26277e-06,0.0008
1.66880e-06,4.1776
1.66971e-06,4.1830
1.67182e-06,4.7103
2.26672e-06,8.9364
5.20022e-06,19.8456
8.42440e-06,22.0865
1.81847e-05,28.1179
6.21109e-05,40.4413
7.63981e-05,42.9968
9.29033e-05,45.3871
2.02158e-04,55.4752
2.97511e-04,60.9172
4.04179e-04,65.3340
5.09484e-04,68.7210
6.07001e-04,71.3225
7.13092e-04,73.7403
8.08028e-04,75.6202
9.12508e-04,77.4854
1.01469e-03,79.1101
2.09248e-03,90.4643
3.10471e-03,96.9018
4.12286e-03,101.7059
5.11787e-03,105.4390
6.08063e-03,108.4673
7.13204e-03,111.3335
8.06703e-03,113.5667
9.09109e-03,115.7770
1.00350e-02,117.6223
2.03420e-02,131.2332
3.10621e-02,140.5108
3.98357e-02,146.3467
1.00986e-01,171.6148
1.47742e-01,184.2747
1.98005e-01,195.5381
2.48781e-01,205.7357
2.99067e-01,215.2202
3.49993e-01,224.5277
3.99809e-01,233.8993
4.50227e-01,243.5716
4.98490e-01,253.7316
5.51061e-01,266.1867
5.99014e-01,280.1294
6.48020e-01,305.7467
6.97204e-01,427.4360
7.53384e-01,449.7614
7.98109e-01,455.7121
8.47817e-01,462.2193
9.01518e-01,470.0647
9.47831e-01,480.6382
9.91541e-01,560.3417
9.90274e-01,560.0441
9.50710e-01,485.5226
9.00475e-01,471.4453
8.47906e-01,463.5787
8.01909e-01,457.7235
7.50749e-01,451.7519
7.01177e-01,445.8161
6.49193e-01,437.0827
6.02102e-01,384.0210
5.50552e-01,286.2691
5.01677e-01,265.8476
4.48716e-01,252.7130
3.99121e-01,235.0310
3.50218e-01,224.9334
2.99554e-01,215.6230
2.01820e-01,196.6080
1.00769e-01,171.5999
